Date,Open,High,Low,Close,Adj Close,Volume
2012-05-16,133.940002,134.550003,132.800003,132.830002,117.594612,207265500
2012-05-17,132.860001,133.020004,130.789993,130.860001,115.850548,247992900
2012-05-18,131.369995,131.600006,129.550003,129.740005,114.859024,319615900
2012-05-21,130.160004,132.020004,129.949997,131.970001,116.833237,177861100
2012-05-22,132.309998,133.229996,131.339996,132.199997,117.036827,197531200
2012-05-23,131.250000,132.460007,129.990005,132.270004,117.098846,204958400
2012-05-24,132.630005,132.839996,131.419998,132.529999,117.328995,167357600
2012-05-25,132.479996,132.850006,131.779999,132.100006,116.948326,135465600
2012-05-29,133.160004,133.929993,131.169998,133.699997,118.364799,152883500
2012-05-30,132.559998,133.690002,131.490005,131.759995,116.647324,162370400
2012-05-31,131.710007,132.449997,130.339996,131.470001,116.390579,196186000
2012-06-01,129.410004,131.500000,128.160004,128.160004,113.460228,253240900
2012-06-04,128.389999,128.740005,127.139999,128.100006,113.407104,202545800
2012-06-05,127.849998,129.259995,127.779999,129.070007,114.265869,164149400
2012-06-06,129.970001,132.029999,129.929993,131.970001,116.833237,184202800
2012-06-07,133.470001,133.529999,131.779999,132.050003,116.904053,184772700
2012-06-08,131.710007,133.130005,131.289993,133.100006,117.833633,143915400
2012-06-11,134.169998,134.250000,131.279999,131.410004,116.337479,169756100
2012-06-12,131.789993,133.009995,131.160004,132.919998,117.674271,181931800
2012-06-13,132.529999,133.360001,131.619995,132.070007,116.921776,172223900
2012-06-14,132.339996,134.000000,131.979996,133.470001,118.161171,230615500
2012-06-15,133.380005,134.259995,133.100006,134.139999,119.369621,169444500
2012-06-18,133.580002,134.729996,133.279999,134.399994,119.601028,131360900
2012-06-19,135.080002,136.250000,134.369995,135.699997,120.757835,137382600
2012-06-20,135.710007,136.100006,134.270004,135.479996,120.562088,206451800
2012-06-21,135.639999,135.779999,132.330002,132.440002,117.856865,205272200
2012-06-22,133.130005,133.710007,132.619995,133.460007,118.764542,130029200
2012-06-25,132.050003,132.100006,130.850006,131.320007,116.860191,146375700
2012-06-26,131.699997,132.380005,130.929993,131.979996,117.447487,141634000
2012-06-27,132.419998,133.429993,131.970001,133.169998,118.506477,108088000
2012-06-28,132.289993,132.990005,131.279999,132.789993,118.168282,169242100
2012-06-29,135.199997,136.270004,134.850006,136.100006,121.113808,212250900
2012-07-02,136.479996,136.649994,135.520004,136.509995,121.478691,129524500
2012-07-03,136.479996,137.509995,136.339996,137.410004,122.279587,80450000
2012-07-05,136.899994,137.800003,136.289993,136.789993,121.727867,126177500
2012-07-06,135.470001,135.770004,134.850006,135.490005,120.571014,151192100
2012-07-09,135.380005,135.570007,134.699997,135.320007,120.419731,103780500
2012-07-10,136.009995,136.229996,133.679993,134.139999,119.369621,167884800
2012-07-11,134.210007,134.600006,133.380005,134.160004,119.387436,141733400
2012-07-12,133.380005,134.229996,132.600006,133.509995,118.809013,143583200
2012-07-13,133.860001,135.889999,133.839996,135.750000,120.802368,129642600
2012-07-16,135.440002,135.830002,134.899994,135.429993,120.517616,97525200
2012-07-17,135.970001,136.639999,134.550003,136.360001,121.345207,138860300
2012-07-18,136.039993,137.639999,135.960007,137.369995,122.243988,113349700
2012-07-19,137.649994,138.179993,137.210007,137.729996,122.564362,129847300
2012-07-20,136.949997,137.160004,136.320007,136.470001,121.443077,142904500
2012-07-23,134.470001,136.380005,133.839996,135.089996,120.215050,145210900
